
#%Probeset listing for Clariom D Human
#%create_date=2021-05-18 PDT 09:19:03
#%input_query=*
gene_symbol	Clariom D Human
APBB3	TC0500013374.hg.1, TC0500013375.hg.1
ZNF267	TC1600007557.hg.1
CCNO	TC0500010759.hg.1
DSCR3	TC2100008098.hg.1
TCIRG1	TC1100013057.hg.1
RTN3	TC1100007906.hg.1
LANCL1	TC0200015608.hg.1
NMUR1	TC0200016026.hg.1
B3GALT5	TC2100008520.hg.1, TC2100008521.hg.1
TNIP1	TC0500012497.hg.1
LAMC3	TC0900008980.hg.1
IKZF1	TC0700007505.hg.1
CRISP3	TC0600012003.hg.1
SMYD5	TC0200008040.hg.1
KLHL41	TC0200016560.hg.1
RRAGB	TC0X00007382.hg.1
SIRPB1	TC2000009970.hg.1
AKR1A1	TC0100008126.hg.1
EMC8	TC1600011115.hg.1
TMEM5	TC1200007989.hg.1
CNPY2	TC1200012802.hg.1
B3GNT3	TC1900007344.hg.1
CLEC4M	TC1900006856.hg.1
TLR6	TC0400012922.hg.1
MRVI1	TC1100010091.hg.1
PCGF3	TC0400006476.hg.1
HIST1H4PS1	TC0600007373.hg.1
HIST1H1PS2	TC0600007261.hg.1
HIST1H2BPS2	TC0600011230.hg.1
TFG	TC0300008152.hg.1
PKDREJ	TC2200009014.hg.1
CCL26	TC0700011560.hg.1
TRDN	TC0600013062.hg.1
TRIM22	TC1100012957.hg.1
ABCA7	TC1900006508.hg.1
ABCA10	TC1700012459.hg.1
ABCA9	TC1700011575.hg.1
ABCA8	TC1700011574.hg.1
WARS2	TC0100018471.hg.1
NPM3	TC1000011658.hg.1
NPM2	TC0800006966.hg.1
HMG20B	TC1900006645.hg.1
HMG20A	TC1500007939.hg.1
KLF2	TC1900007270.hg.1
MICU1	TC1000010993.hg.1, TC1000010995.hg.1
CACNG3	TC1600007251.hg.1
CACNG2	TC2200008613.hg.1, TC2200008615.hg.1
CITED2	TC0600013361.hg.1
SEMA3A	TC0700013578.hg.1, TC0700013579.hg.1
TUBA1B	TC1200010616.hg.1
IRF9	TC1400010584.hg.1
BPNT1	TC0100017368.hg.1
TUBB3	TC1600011453.hg.1
TUBB4A	TC1900009433.hg.1
TUBB4B	TC0900009274.hg.1
BTN3A3	TC0600007306.hg.1
BTN2A2	TC0600007302.hg.1
SYCP2	TC2000009673.hg.1
SCML2	TC0X00009185.hg.1
CEPT1	TC0100009402.hg.1
CORO2B	TC1500007677.hg.1
NOD1	TC0700010637.hg.1
ANAPC10	TC0400012027.hg.1
PRG3	TC1100010889.hg.1
DLC1	TC0800012387.hg.1, TC0800012388.hg.1
ATP8A1	TC0400010558.hg.1
NDRG1	TC0800011881.hg.1
MYL9	TC2000007251.hg.1
GNB2L1	TC0500013430.hg.1
PEMT	TC1700009939.hg.1
PIAS3	TC0100015591.hg.1
ST3GAL6	TC0300013852.hg.1, TC0300013853.hg.1
NDC80	TC1800006484.hg.1
CPQ	TC0800008300.hg.1
WFDC2	TC2000007492.hg.1
SPAG11B	TC0800006622.hg.1, TC0800009465.hg.1
MYCNOS	TC0200016634.hg.1
BASP1	TC0500013155.hg.1
IFITM3	TC1100009657.hg.1
RAPGEF3	TC1200012788.hg.1
NSA2	TC0500013191.hg.1
YAP1	TC1100008904.hg.1
SPON2	TC0400009722.hg.1
SPON1	TC1100006911.hg.1
PRMT5	TC1400008684.hg.1
TESK2	TC0100014009.hg.1
CD2BP2	TC1600009961.hg.1
UBAC1	TC0900011959.hg.1
CDIPT	TC1600009942.hg.1
PGRMC2	TC0400011823.hg.1
ARIH2	TC0300007356.hg.1
TUBGCP3	TC1300009856.hg.1
SEC24B	TC0400008376.hg.1
CFDP1	TC1600011565.hg.1
TMEM147	TC1900007864.hg.1
RBM14	TC1100013050.hg.1
LYPLA1	TC0800010460.hg.1
CDC42EP2	TC1100008010.hg.1
EMG1	TC1200012591.hg.1
IFI30	TC1900007365.hg.1
C1D	TC0200012925.hg.1
OLFM1	TC0900009145.hg.1
TIMM17A	TC0100011200.hg.1
N4BP2L2	TC1300010030.hg.1
ZER1	TC0900011655.hg.1
MCRS1	TC1200010633.hg.1
LRRN2	TC0100017043.hg.1
FAM3C	TC0700012427.hg.1
ACAA2	TC1800009289.hg.1
PPIE	TC0100007920.hg.1
VAV3	TC0100015155.hg.1
TOMM40	TC1900008292.hg.1
TAB1	TC2200007401.hg.1
ECI2	TC0600010647.hg.1
HAX1	TC0100010068.hg.1
GPNMB	TC0700006913.hg.1
BAIAP2	TC1700009150.hg.1
MAD2L2	TC0100012889.hg.1
TACC3	TC0400006538.hg.1
MERTK	TC0200008894.hg.1
CLEC10A	TC1700009612.hg.1
SLC30A9	TC0400007361.hg.1
PIBF1	TC1300007484.hg.1
PPIH	TC0100008023.hg.1
COG5	TC0700012203.hg.1
ZNHIT1	TC0700008588.hg.1
FST	TC0500007376.hg.1
TIMM44	TC1900009511.hg.1
PFDN6	TC0600007695.hg.1
ZBTB18	TC0100012211.hg.1
HMGN4	TC0600007311.hg.1
TADA3	TC0300010209.hg.1
TRIM38	TC0600007257.hg.1
ATP5H	TC1700011731.hg.1
UBE2E3	TC0200010152.hg.1
SLC25A17	TC2200008796.hg.1
SLC9A6	TC0X00008521.hg.1
EIF3M	TC1100007210.hg.1
HOXB13	TC1700011004.hg.1
NXF1	TC1100011101.hg.1
SEC23B	TC2000006833.hg.1
SEC23A	TC1400009002.hg.1
C1orf61	TC0100018511.hg.1
CAP2	TC0600007087.hg.1
CAP1	TC0100007940.hg.1
CREB3	TC0900007096.hg.1
LRRC41	TC0100014050.hg.1
VTI1B	TC1400010764.hg.1
CRTAP	TC0300006993.hg.1
SYNCRIP	TC0600014322.hg.1
VAT1	TC1700010762.hg.1
STK25	TC0200016360.hg.1
ENOX2	TC0X00010813.hg.1
UNC13B	TC0900007077.hg.1
CARM1	TC1900007003.hg.1
NCOA2	TC0800010749.hg.1
SEMA6C	TC0100015771.hg.1
SEMA6B	TC1900009352.hg.1
SEMA4F	TC0200008094.hg.1
SEMA4D	TC0900010702.hg.1
SEMA4B	TC1500010783.hg.1
SEMA3C	TC0700011626.hg.1
APPBP2	TC1700011319.hg.1
MYBBP1A	TC1700009515.hg.1
FBLN5	TC1400009992.hg.1
FBXW10	TC1700007137.hg.1
CIB2	TC1500010134.hg.1
CIB1	TC1500010429.hg.1
ZNF211	TC1900011819.hg.1
DDX17	TC2200008703.hg.1
DEAF1	TC1100009689.hg.1
CHERP	TC1900011900.hg.1
KAT5	TC1100008034.hg.1
HYOU1	TC1100012510.hg.1, TSUnmapped00000059.hg.1, TSUnmapped00000067.hg.1, TSUnmapped00000138.hg.1, TSUnmapped00000233.hg.1, TSUnmapped00000244.hg.1, TSUnmapped00000253.hg.1, TSUnmapped00000281.hg.1, TSUnmapped00000296.hg.1, TSUnmapped00000300.hg.1, TSUnmapped00000310.hg.1, TSUnmapped00000322.hg.1, TSUnmapped00000327.hg.1, TSUnmapped00000383.hg.1, TSUnmapped00000440.hg.1, TSUnmapped00000484.hg.1, TSUnmapped00000500.hg.1, TSUnmapped00000517.hg.1, TSUnmapped00000558.hg.1, TSUnmapped00000567.hg.1, TSUnmapped00000706.hg.1, TSUnmapped00000734.hg.1, TSUnmapped00000777.hg.1
IPO8	TC1200010264.hg.1
IPO7	TC1100006810.hg.1
NOP56	TC2000006518.hg.1
NEBL	TC1000009983.hg.1
PITRM1	TC1000009589.hg.1
ATG7	TC0300006605.hg.1
SSSCA1	TC1100013042.hg.1
RNASEH2A	TC1900007098.hg.1
P3H3	TC1200012588.hg.1
UBD	TC0600014255.hg.1
BATF	TC1400007712.hg.1
GLRX3	TC1000009345.hg.1
DCTN2	TC1200010971.hg.1
ANP32B	TC0900008173.hg.1
LAMTOR5	TC0100015236.hg.1
PROCR	TC2000007209.hg.1
TM9SF1	TC1400010723.hg.1
PRDX4	TC0X00006794.hg.1
ARL6IP5	TC0300007745.hg.1
AGR2	TC0700010355.hg.1
ARPC1A	TC0700013419.hg.1
HTATIP2	TC1100007049.hg.1
AGPAT1	TC0600011481.hg.1
AGPAT2	TC0900011992.hg.1
RPP30	TC1000008423.hg.1
RPP38	TC1000006863.hg.1
SPTLC1	TC0900010779.hg.1
SLC35A1	TC0600014154.hg.1
SLC19A2	TC0100016351.hg.1
IFI44	TC0100008816.hg.1
OLFM4	TC1300007256.hg.1
CXCL13	TC0400007918.hg.1
ARFGEF2	TC2000007620.hg.1
ARFGEF1	TC0800010703.hg.1
AKAP3	TC1200009676.hg.1
RABAC1	TC1900010781.hg.1
SLC34A2	TC0400007104.hg.1
SLU7	TC0500012663.hg.1
DPYSL4	TC1000009397.hg.1
SIVA1	TC1400010700.hg.1
MRPL28	TC1600008942.hg.1
CCT7	TC0200008041.hg.1
CCT4	TC0200012755.hg.1
CCT2	TC1200008147.hg.1
NPC2	TC1400009697.hg.1
GNLY	TC0200008268.hg.1
TACC2	TC1000009140.hg.1
SORBS1	TC1000011487.hg.1
IFITM2	TC1100012948.hg.1
COLEC10	TC0800008658.hg.1
POMT1	TC0900009003.hg.1
MAB21L2	TC0400008977.hg.1
TXNRD2	TC2200008001.hg.1
MTHFS	TC1500010900.hg.1
DRAP1	TC1100008044.hg.1
SCGN	TC0600007244.hg.1
DNPH1	TC0600011870.hg.1
SMC2	TC0900008286.hg.1
PRPF8	TC1700009394.hg.1
ERN2	TC1600009749.hg.1
TRAPPC2B	TC1900011812.hg.1
AHSA1	TC1400007761.hg.1
SLCO1B1	TC1200012602.hg.1
USP16	TC2100006852.hg.1
CDC42EP3	TC0200016648.hg.1, TC0200016649.hg.1
SH2B2	TC0700008617.hg.1
PAIP1	TC0500010643.hg.1
PAICS	TC0400007592.hg.1
TBL3	TC1600006578.hg.1
MXD4	TC0400009765.hg.1
P3H4	TC1700010687.hg.1
ST6GALNAC2	TC1700011808.hg.1
PDLIM5	TC0400008175.hg.1
TRIM3	TC1100009971.hg.1
ERLIN1	TC1000012584.hg.1
HEXIM1	TC1700008033.hg.1
SPAG5	TC1700012380.hg.1
RBCK1	TC2000006446.hg.1
STAMBP	TC0200008059.hg.1
TGOLN2	TC0200013257.hg.1
ARID3B	TC1500007851.hg.1
POLR3F	TC2000006829.hg.1
POLR3G	TC0500008054.hg.1
POLR3C	TC0100009745.hg.1
IVNS1ABP	TC0100016694.hg.1
TRIM16	TC1700012362.hg.1
MYL12A	TC1800006506.hg.1
TXNIP	TC0100015598.hg.1
TAF6L	TC1100007875.hg.1
PDPN	TC0100006931.hg.1
POSTN	TC1300008644.hg.1
ATP5L	TC1100013100.hg.1
RASL10A	TC2200009331.hg.1
GAS2L1	TC2200007014.hg.1
RAD51AP1	TC1200006561.hg.1
RGS14	TC0500009620.hg.1
LEFTY1	TC0100018563.hg.1
SPHAR	TC0100011901.hg.1
EXOC5	TC1400009295.hg.1
NPRL2	TC0300011108.hg.1
IGF2BP1	TC1700008186.hg.1
IGF2BP3	TC0700010463.hg.1
IGF2BP2	TC0300013420.hg.1
CAMKK2	TC1200012199.hg.1
SCGB1D2	TC1100007840.hg.1
SCGB1D1	TC1100007837.hg.1
PRELID3A	TC1800006733.hg.1
MTX2	TC0200010056.hg.1
YKT6	TC0700007374.hg.1
SPINT2	TC1900011725.hg.1
PMVK	TC0100015931.hg.1
DMRT2	TC0900006458.hg.1
KHDRBS3	TC0800012362.hg.1, TC0800012363.hg.1
KHDRBS1	TC0100007659.hg.1
CELF1	TC1100010741.hg.1
CELF2	TC1000006754.hg.1
LBX1	TC1000011640.hg.1
KLF1	TC1900009755.hg.1
CXCR6	TC0300007251.hg.1
CTCF	TC1600008166.hg.1
C6orf10	TC0600011487.hg.1
CD226	TC1800008977.hg.1
FARS2	TC0600006808.hg.1
CGRRF1	TC1400007204.hg.1
CGREF1	TC0200012060.hg.1
RRAGA	TC0900006752.hg.1
DCTN6	TC0800012288.hg.1
GNA13	TC1700011476.hg.1
TNFSF13B	TC1300010000.hg.1
CSPG5	TC0300010989.hg.1
AVIL	TC1200010983.hg.1
B3GNT2	TC0200007746.hg.1
GNB5	TC1500009452.hg.1
EBP	TC0X00007191.hg.1
DLL3	TC1900008061.hg.1
CLDN16	TC0300009853.hg.1
PNMA2	TC0800009941.hg.1
FUT9	TC0600008870.hg.1
GMEB1	TC0100007569.hg.1
RRH	TC0400008389.hg.1
CCT6B	TC1700010408.hg.1
CCT8	TC2100007854.hg.1
CNPY3	TC0600008059.hg.1
CORIN	TC0400010609.hg.1
FAM189B	TC0100015950.hg.1
USP39	TC0200008263.hg.1
POLD3	TC1100013071.hg.1
CERS1	TC1900010032.hg.1
TBR1	TC0200016555.hg.1
AP4B1	TC0100015337.hg.1
NRG3	TC1000008253.hg.1
UGT2B11	TC0400010925.hg.1
POLQ	TC0300012164.hg.1
SLC12A7	TC0500009837.hg.1
MGEA5	TC1000011659.hg.1
NFAT5	TC1600008231.hg.1
NUDC	TC0100007489.hg.1
PTGES3	TC1200010931.hg.1
YME1L1	TC1000010115.hg.1
TCFL5	TC2000009780.hg.1
PLK4	TC0400008664.hg.1
STAG3	TC0700013425.hg.1
STAG2	TC0X00008332.hg.1
SIX2	TC0200012452.hg.1
RFPL3S	TC2200008513.hg.1
RFPL3	TC2200007132.hg.1
RFPL2	TC2200008505.hg.1
RFPL1S	TC2200008401.hg.1
RBBP9	TC2000008533.hg.1
RAI2	TC0X00009179.hg.1
RAI1	TC1700007080.hg.1
PTTG2	TC0400007247.hg.1
PHTF1	TC0100015330.hg.1
MAP3K2	TC0200014170.hg.1
MASP2	TC0100012868.hg.1
KLRAP1	TC1200009910.hg.1
KIF1C	TC1700006660.hg.1
GRAP	TC1700009995.hg.1
CHL1	TC0300006437.hg.1
CAPN9	TC0100011945.hg.1
GIPC1	TC1900009823.hg.1
TRAF3IP2	TC0600012871.hg.1
PLAC1	TC0X00010875.hg.1
NUP50	TC2200007607.hg.1
NES	TC0100016016.hg.1
KDM5B	TC0100016963.hg.1
TOB2	TC2200008827.hg.1
HBS1L	TC0600013251.hg.1
AHCYL1	TC0100009365.hg.1
PLK2	TC0500010835.hg.1
ZMYND11	TC1000006434.hg.1
SRSF10	TC0100013311.hg.1
ZBTB6	TC0900011453.hg.1
POP4	TC1900007678.hg.1
ARPP19	TC1500009458.hg.1
ARPP21	TC0300007013.hg.1
ZNF271P	TC1800009224.hg.1
ZNF234	TC1900008254.hg.1
ZNF266	TC1900009583.hg.1
ZNF274	TC1900009031.hg.1
NEK6	TC0900008716.hg.1
WDR4	TC2100008272.hg.1
SLC17A3	TC0600011116.hg.1
NCKAP1	TC0200016757.hg.1
IQGAP2	TC0500007826.hg.1
VAMP5	TC0200008261.hg.1
ZNF273	TC0700013373.hg.1, TC0700013374.hg.1, TC0700013375.hg.1
ZNF460	TC1900008989.hg.1
ZNF268	TC1200012737.hg.1
MTHFD2	TC0200008071.hg.1
OR5I1	TC1100010833.hg.1
RPP40	TC0600010681.hg.1
CYSLTR1	TC0X00010141.hg.1
SEPT9	TC1700008995.hg.1
SEC24A	TC0500008700.hg.1
CCR9	TC0300007247.hg.1
GJB6	TC1300008250.hg.1
SDCCAG8	TC0100012200.hg.1
SDCCAG3	TC0900011978.hg.1
HSPH1	TC1300008533.hg.1
STARD10	TC1100013206.hg.1
WASF3	TC1300006658.hg.1
NOXA1	TC0900009290.hg.1
UTP14A	TC0X00008392.hg.1
CPLX2	TC0500009566.hg.1
CPLX1	TC0400009704.hg.1
SPINT3	TC2000009228.hg.1
FRS3	TC0600011802.hg.1
FRS2	TC1200008142.hg.1
OR7E14P	TC1100006955.hg.1
OR7E13P	TC1100011863.hg.1
OR7E12P	TC1100009842.hg.1
OR7E11P	TC1100011356.hg.1
OR7E10P	TC0800009672.hg.1
DIAPH2-AS1	TC0X00010310.hg.1
NEU3	TC1100013072.hg.1
FAXDC2	TC0500012567.hg.1
FAM114A2	TC0500012539.hg.1
NPM1P19	TC2000009091.hg.1
ZNF275	TC0X00008776.hg.1
ALDH1L1	TC0300012269.hg.1
FTCD	TC2100008459.hg.1
PPP1R17	TC0700007112.hg.1
TUBGCP2	TC1000012391.hg.1
CLPX	TC1500009785.hg.1
PDE10A	TC0600014366.hg.1, TC0600014367.hg.1
SRCAP	TC1600011383.hg.1
PPP1R13L	TC1900010939.hg.1
CD3EAP	TC1900008323.hg.1
CCL27	TC0900009914.hg.1
HPSE	TC0400011203.hg.1
RUVBL2	TC1900008509.hg.1
PGRMC1	TC0X00008240.hg.1
CYP46A1	TC1400008182.hg.1
LILRB1	TC1900011799.hg.1
SLC26A1	TC0400009714.hg.1
ADAM28	TC0800007040.hg.1
SLC22A7	TC0600008078.hg.1
ARID5A	TC0200008507.hg.1
HCP5	TC0600014102.hg.1
TSPAN9	TC1200006520.hg.1
USP20	TC0900008935.hg.1
USP19	TC0300011051.hg.1
HCST	TC1900007891.hg.1
CD300C	TC1700011699.hg.1
ME3	TC1100011857.hg.1
NMU	TC0400010750.hg.1
FGL2	TC0700011584.hg.1
EDDM3A	TC1400010569.hg.1
CFHR4	TC0100011068.hg.1
CFHR3	TC0100011066.hg.1
SMR3B	TC0400012809.hg.1
ACTL7B	TC0900011145.hg.1
ACTL7A	TC0900008379.hg.1
C1QL1	TC1700010856.hg.1
MRPS30	TC0500007314.hg.1
WDR3	TC0100009580.hg.1
NPFFR2	TC0400007806.hg.1
PROKR1	TC0200016467.hg.1
GPR83	TC1100012000.hg.1
RAB10	TC0200007015.hg.1
PPARGC1A	TC0400010242.hg.1
MALT1	TC1800007431.hg.1
MMP24	TC2000007213.hg.1
LYVE1	TC1100010090.hg.1
PPBPP2	TC0400011016.hg.1
OCLM	TC0100010925.hg.1
YIF1A	TC1100011280.hg.1
CPSF4	TC0700008496.hg.1
JTB	TC0100015894.hg.1
RUNDC3A	TC1700007993.hg.1
DHRS4	TC1400010579.hg.1
BRD8	TC0500012162.hg.1
MTMR11	TC0100015716.hg.1
BLCAP	TC2000010009.hg.1, TC2000010010.hg.1
MAN1A2	TC0100009568.hg.1
TRAFD1	TC1200008906.hg.1
TXNL4A	TC1800009206.hg.1
PNPLA6	TC1900011654.hg.1
SUGT1	TC1300007251.hg.1
UTS2	TC0100012732.hg.1
GADD45G	TC0900007877.hg.1
EDAR	TC0200013815.hg.1
PAPOLA	TC1400008119.hg.1
TCERG1	TC0500009009.hg.1
MAGED2	TC0X00007363.hg.1
BTNL3	TC0500009749.hg.1
EHMT2	TC0600011465.hg.1
COPS8	TC0200011237.hg.1
RNPS1	TC1600009102.hg.1
FASTK	TC0700013059.hg.1
SUB1	TC0500007075.hg.1
SMPDL3A	TC0600009333.hg.1
DBF4	TC0700008263.hg.1
SPIN1	TC0900007844.hg.1
RALBP1	TC1800006639.hg.1
SRSF8	TC1100008827.hg.1
APOBEC2	TC0600007986.hg.1
MORF4L1	TC1500007986.hg.1
PRDX3	TC1000011993.hg.1
GPR75	TC0200016668.hg.1
EHD1	TC1100011190.hg.1
AFG3L2	TC1800008116.hg.1
POP1	TC0800008330.hg.1
UGT2A1	TC0400010939.hg.1
PRSS21	TC1600006636.hg.1
MSL3	TC0X00006614.hg.1
C11orf58	TC1100012974.hg.1
KDELR1	TC1900011071.hg.1
SF3A3	TC0100013760.hg.1
AP3M2	TC0800007431.hg.1
STARD3	TC1700012246.hg.1
HNRNPA0	TC0500012147.hg.1
BTG3	TC2100007663.hg.1
CBX1	TC1700010979.hg.1
SEC61B	TC0900008207.hg.1
TOMM34	TC2000009204.hg.1
PDIA5	TC0300013864.hg.1
SERINC3	TC2000009196.hg.1
OS9	TC1200007895.hg.1
PNRC1	TC0600008757.hg.1
TMED2	TC1200009247.hg.1
LMAN2	TC0500012965.hg.1
ERP29	TC1200008900.hg.1
MLLT11	TC0100009938.hg.1
STIP1	TC1100007935.hg.1
IFI44L	TC0100008815.hg.1
ACOT2	TC1400007647.hg.1
RAB40B	TC1700012143.hg.1
EBNA1BP2	TC0100018435.hg.1, TC0100018436.hg.1
CKAP4	TC1200011791.hg.1
YWHAQ	TC0200011690.hg.1
TMED10	TC1400009714.hg.1
ASCC3	TC0600012671.hg.1
ADIRF	TC1000012471.hg.1
UQCR11	TC1900011837.hg.1
CLP1	TC1100013001.hg.1
FERMT2	TC1400009194.hg.1
COPS6	TC0700008522.hg.1
RAB32	TC0600009744.hg.1
MAPRE2	TC1800007066.hg.1
CCNI	TC0400011087.hg.1
KCNQ1OT1	TC1100009808.hg.1
GCN1	TC1200012149.hg.1
COPS5	TC0800012424.hg.1
METAP2	TC1200008517.hg.1
IMMT	TC0200013308.hg.1
LILRB5	TC1900011406.hg.1
SLC38A3	TC0300007409.hg.1
SF3B2	TC1100013046.hg.1, TC1100013047.hg.1
SDS	TC1200011994.hg.1
ILVBL	TC1900009852.hg.1
SLC27A5	TC1900012062.hg.1
SLC27A4	TC0900008860.hg.1
SLC27A3	TC0100018299.hg.1
SLC27A2	TC1500007196.hg.1
KIF2C	TC0100008101.hg.1
SPINK5	TC0500009031.hg.1
LILRB4	TC1900011800.hg.1, TC1900011801.hg.1
CCDC85B	TC1100008042.hg.1
IL24	TC0100011391.hg.1
GLIPR1	TC1200008224.hg.1
TLK2	TC1700008533.hg.1
KLK11	TC1900011234.hg.1
TMSB15A	TC0X00010387.hg.1
KDELR2	TC0700013510.hg.1
KDELR3	TC2200007356.hg.1
ATF7	TC1200010809.hg.1
SNRNP27	TC0200016470.hg.1
TMED1	TC1900009648.hg.1
LIAS	TC0400007285.hg.1
IFT27	TC2200008620.hg.1
RAB35	TC1200012145.hg.1
TDRKH	TC0100015803.hg.1
VAX1	TC1000011940.hg.1
LILRA1	TC1900011798.hg.1
LILRB3	TC1900012036.hg.1
LILRA2	TC1900011797.hg.1
RBPMS	TC0800007185.hg.1
RAB31	TC1800006650.hg.1
ADAP1	TC0700013500.hg.1
DSTN	TC2000006799.hg.1
RIPK3	TC1400010727.hg.1
GTF2A1L	TC0200007536.hg.1
STON1	TC0200007536.hg.1
SMA4	TC0500013184.hg.1, TC0500013317.hg.1
PIM2	TC0X00009637.hg.1
B4GAT1	TC1100011285.hg.1
MID2	TC0X00008078.hg.1
PAPD7	TC0500006648.hg.1
UPK1A	TC1900007874.hg.1
SLC35D2	TC0900010910.hg.1
ADRM1	TC2000008001.hg.1
NUDT21	TC1600010407.hg.1
CPSF6	TC1200008126.hg.1
OGFR	TC2000008030.hg.1
ZPBP	TC0700013553.hg.1, TC0700013554.hg.1
DDX52	TC1700010501.hg.1
ABHD2	TC1500008245.hg.1
WWP1	TC0800008145.hg.1
WWP2	TC1600008239.hg.1
LECT1	TC1300009023.hg.1
DUS4L	TC0700008755.hg.1
SOX30	TC0500012605.hg.1
CNTRL	TC0900008628.hg.1
UBE2C	TC2000007503.hg.1
SNRNP35	TC1200009242.hg.1
C10orf10	TC1000010482.hg.1
CYB561D2	TC0300013832.hg.1, TC0300013833.hg.1
RAPGEF4	TC0200009982.hg.1
TMEM115	TC0300011109.hg.1
DUSP14	TC1700007677.hg.1
TOPBP1	TC0300012475.hg.1
TRIM31	TC0600011351.hg.1
STMN2	TC0800008044.hg.1
TPPP	TC0500009814.hg.1
HSF2BP	TC2100008306.hg.1
TRIOBP	TC2200007313.hg.1
RER1	TC0100006577.hg.1
DNAJB4	TC0100018238.hg.1
KERA	TC1200011493.hg.1
ESM1	TC0500013309.hg.1
DIDO1	TC2000009782.hg.1
ADAM30	TC0100015481.hg.1
ADAM29	TC0400012864.hg.1, TC0400012865.hg.1
WDR5	TC0900009106.hg.1
C9orf9	TC0900009040.hg.1
ADAMTS13	TC0900009077.hg.1, TSUnmapped00000129.hg.1, TSUnmapped00000151.hg.1, TSUnmapped00000159.hg.1, TSUnmapped00000220.hg.1, TSUnmapped00000305.hg.1, TSUnmapped00000387.hg.1, TSUnmapped00000418.hg.1, TSUnmapped00000675.hg.1, TSUnmapped00000724.hg.1
CACFD1	TC0900009078.hg.1, TSUnmapped00000036.hg.1, TSUnmapped00000087.hg.1, TSUnmapped00000170.hg.1, TSUnmapped00000173.hg.1, TSUnmapped00000519.hg.1, TSUnmapped00000576.hg.1, TSUnmapped00000664.hg.1
ADAMTS8	TC1100012834.hg.1
ADAMTS5	TC2100007822.hg.1
NUPL2	TC0700006910.hg.1
PRSS23	TC1100008669.hg.1
PTPN21	TC1400009922.hg.1
HNRNPUL1	TC1900011739.hg.1
ATE1	TC1000012056.hg.1
RPP14	TC0300007607.hg.1
KRR1	TC1200011301.hg.1
KATNA1	TC0600013527.hg.1
PRDM7	TC1600011306.hg.1
PRDM5	TC0400011727.hg.1
PRDM4	TC1200011820.hg.1
HIBADH	TC0700010581.hg.1
CIT	TC1200012143.hg.1
FGFR1OP	TC0600014202.hg.1
EMILIN1	TC0200007052.hg.1
BTN3A2	TC0600007301.hg.1
BTN3A1	TC0600007303.hg.1
BTN2A1	TC0600007307.hg.1
PTPRT	TC2000009149.hg.1
RCAN3	TC0100007370.hg.1
FAF1	TC0100014152.hg.1
CD160	TC0100009742.hg.1
KIF3A	TC0500012023.hg.1
POLR3A	TC1000011135.hg.1
CLASRP	TC1900008303.hg.1
ZWINT	TC1000010686.hg.1
CAPN11	TC0600008122.hg.1
CAPN10	TC0200016610.hg.1
KPTN	TC1900011031.hg.1
CDC42EP1	TC2200007303.hg.1
SLC7A9	TC1900010370.hg.1
PWP1	TC1200008748.hg.1
TBC1D8	TC0200016717.hg.1, TC0200016718.hg.1
CDC37	TC1900009628.hg.1
IL1RAPL1	TC0X00006865.hg.1
PKIG	TC2000007457.hg.1
KAT7	TC1700008216.hg.1
DMC1	TC2200008704.hg.1
PLA2G16	TC1100011126.hg.1
GLMN	TC0100014921.hg.1
HHLA3	TC0100008696.hg.1
HHLA2	TC0300008284.hg.1
BVES	TC0600012708.hg.1
CORO1A	TC1600007448.hg.1
WDR45	TC0X00009650.hg.1
FICD	TC1200012702.hg.1, TC1200012703.hg.1
AP4S1	TC1400006833.hg.1
LDB3	TC1000008310.hg.1
PTP4A3	TC0800009113.hg.1
LSM6	TC0400008922.hg.1
RABL2B	TC2200009180.hg.1
RABL2A	TC0200008984.hg.1
ERLIN2	TC0800007308.hg.1
C14orf1	TC1400009732.hg.1
NUDT6	TC0400012961.hg.1, TC0400012962.hg.1
NUDT4	TC0100009760.hg.1, TC0100009833.hg.1, TC1200008466.hg.1
NUDT5	TC1000009810.hg.1
NUDT3	TC0600014283.hg.1
SOX21	TC1300009497.hg.1
FSTL1	TC0300012145.hg.1
PSIP1	TC0900009592.hg.1
WDHD1	TC1400009242.hg.1
FAM107A	TC0300011311.hg.1
STRAP	TC1200006966.hg.1
INSL6	TC0900009453.hg.1
ADAMTS7	TC1500010157.hg.1
ADAMTS6	TC0500010924.hg.1
BAZ2A	TC1200010926.hg.1
BAZ1A	TC1400008921.hg.1
LZTS1	TC0800009796.hg.1
ZNF277	TC0700008818.hg.1
WDR6	TC0300013827.hg.1
TREH	TC1100012492.hg.1
SLC2A6	TC0900011850.hg.1
MAP4K5	TC1400009131.hg.1
MAP4K1	TC1900010612.hg.1
INMT	TC0700013345.hg.1, TC0700013346.hg.1
RASSF1	TC0300011105.hg.1
PKP3	TC1100006456.hg.1
NISCH	TC0300007482.hg.1
CELF3	TC0100015805.hg.1
CEP250	TC2000007218.hg.1
PTENP1	TC0900009870.hg.1
WBP4	TC1300006965.hg.1
ABCB8	TC0700009690.hg.1
SEC23IP	TC1000009095.hg.1
WIF1	TC1200011108.hg.1
SUPT16H	TC1400008628.hg.1
ANXA10	TC0400009253.hg.1
CHEK2	TC2200008367.hg.1
POLI	TC1800007354.hg.1
KLK8	TC1900012011.hg.1
MST1P2	TC0100007058.hg.1
FZD10	TC1200009397.hg.1
PROSC	TC0800007309.hg.1
IRAK3	TC1200008057.hg.1
AKAP13	TC1500008187.hg.1
