
#%Probeset listing for Clariom D Human
#%create_date=2021-05-18 PDT 09:19:03
#%input_query=*
gene_symbol	Clariom D Human
CLN8	TC0800012255.hg.1, TC0800012256.hg.1
EPO	TC0700008563.hg.1
EPOR	TC1900011868.hg.1
EPRS	TC0100017365.hg.1
EPS8	TC1200010038.hg.1
EPS15	TC0100014175.hg.1
NR2F6	TC1900011903.hg.1
ERBB2	TC1700012249.hg.1, TC1700012250.hg.1
ERBB3	TC1200012643.hg.1
ERBB4	TC0200015616.hg.1
ERCC1	TC1900010941.hg.1
ERCC2	TC1900011981.hg.1
EREG	TC0400007853.hg.1
EYA4	TC0600009498.hg.1
ERCC3	TC0200014167.hg.1
ERCC4	TC1600006976.hg.1
ERCC5	TC1300009994.hg.1
ERCC6	TC1000010602.hg.1
ERF	TC1900011958.hg.1
ERG	TC2100008143.hg.1
ERH	TC1400009548.hg.1
ERN1	TC1700011436.hg.1
ERV3-1	TC0700011318.hg.1
FBL	TC1900010675.hg.1, TSUnmapped00000020.hg.1, TSUnmapped00000061.hg.1, TSUnmapped00000162.hg.1, TSUnmapped00000344.hg.1, TSUnmapped00000349.hg.1, TSUnmapped00000380.hg.1, TSUnmapped00000427.hg.1, TSUnmapped00000445.hg.1, TSUnmapped00000456.hg.1, TSUnmapped00000552.hg.1, TSUnmapped00000768.hg.1, TSUnmapped00000776.hg.1
ESD	TC1300008855.hg.1
ESR1	TC0600009871.hg.1
ESR2	TC1400009402.hg.1
ESRRA	TC1100007947.hg.1
ESRRB	TC1400007725.hg.1
ESRRG	TC0100017310.hg.1
ETF1	TC0500012179.hg.1
ETFA	TC1500010093.hg.1
ETFB	TC1900012016.hg.1
ETFDH	TC0400009132.hg.1
ETS1	TC1100012775.hg.1
ETS2	TC2100007140.hg.1
ETV1	TC0700010321.hg.1
ETV2	TC1900007870.hg.1
ETV3	TC0100016035.hg.1
ETV4	TC1700010790.hg.1
ETV5	TC0300014082.hg.1
ETV6	TC1200006850.hg.1
EVC	TC0400012760.hg.1
MECOM	TC0300013068.hg.1
EVI2A	TC1700010314.hg.1
EVI2B	TC1700010314.hg.1
EVPL	TC1700011782.hg.1
EVX1	TC0700007009.hg.1
EWSR1	TC2200007013.hg.1
EXT1	TC0800011579.hg.1
EXT2	TC1100007390.hg.1
EXTL1	TC0100007434.hg.1
EXTL2	TC0100015079.hg.1
EXTL3	TC0800012284.hg.1
EYA1	TC0800010774.hg.1
EYA2	TC2000007545.hg.1
EYA3	TC0100013458.hg.1
EZH1	TC1700010738.hg.1
EZH2	TC0700012959.hg.1
F2	TC1100007463.hg.1
F2R	TC0500007831.hg.1
F2RL1	TC0500007834.hg.1
F2RL2	TC0500011194.hg.1
F3	TC0100014988.hg.1
F5	TC0100016356.hg.1
F7	TC1300008108.hg.1
F8	TC0X00011226.hg.1
F9	TC0X00008578.hg.1
F10	TC1300008109.hg.1, TSUnmapped00000817.hg.1, TSUnmapped00000818.hg.1
F11	TC0400009551.hg.1
F12	TC0500012971.hg.1
F13A1	TC0600010709.hg.1
F13B	TC0100016828.hg.1
FAAH	TC0100008158.hg.1
FABP4	TC0800010938.hg.1
FABP1	TC0200013362.hg.1
FABP2	TC0400011706.hg.1
FABP3	TC0100013561.hg.1
FABP5	TC0800008080.hg.1, TC1100010987.hg.1
FABP6	TC0500009274.hg.1
FABP7	TC0600009332.hg.1
FANCA	TC1600011292.hg.1
FANCC	TC0900010878.hg.1
FANCD2	TC0300006575.hg.1
FANCE	TC0600007799.hg.1
ACSL1	TC0400012621.hg.1
ACSL3	TC0200010907.hg.1
ACSL4	TC0X00011381.hg.1, TC0X00011382.hg.1
FAH	TC1500008029.hg.1
PTK2B	TC0800007102.hg.1
BPTF	TC1700008709.hg.1
FANCB	TC0X00009117.hg.1
FANCF	TC1100010346.hg.1
FANCG	TC0900009930.hg.1
FAP	TC0200014771.hg.1
FBLN1	TC2200007620.hg.1
FARSA	TC1900009757.hg.1
FASN	TC1700012093.hg.1
FAT1	TC0400012670.hg.1
FAT2	TC0500012514.hg.1
FAU	TC1100013185.hg.1
FBLN2	TC0300006658.hg.1
FBN1	TC1500009348.hg.1
FBN2	TC0500013349.hg.1
EFEMP1	TC0200012656.hg.1
FBP1	TC0900010866.hg.1
FCAR	TC1900008881.hg.1
FCER1A	TC0100010252.hg.1
MS4A2	TC1100007765.hg.1
FCER1G	TC0100010341.hg.1
FCER2	TC1900009491.hg.1
FCGR1A	TC0100009866.hg.1
FCGR1B	TC0100009656.hg.1
FCGR2A	TC0100018308.hg.1
FCGR2B	TC0100018310.hg.1
FCGR3A	TC0100016185.hg.1
FCGR3B	TC0100016189.hg.1
FCGRT	TC1900008543.hg.1
FKTN	TC0900008316.hg.1
FCN1	TC0900011918.hg.1
FCN2	TC0900009139.hg.1
FDFT1	TC0800006760.hg.1
FDPS	TC0100010123.hg.1
FDPSP4	TC1500009203.hg.1
FDX1	TC1100009004.hg.1
FDXR	TC1700011720.hg.1
FECH	TC1800008776.hg.1
FEN1	TC1100013021.hg.1
GPC4	TC0X00010849.hg.1
FER	TC0500008278.hg.1
FES	TC1500008339.hg.1
FGA	TC0400012181.hg.1
FGB	TC0400009064.hg.1
FGD1	TC0X00009780.hg.1
FGF1	TC0500012317.hg.1
FGF2	TC0400008618.hg.1
FGF3	TC1100011452.hg.1
FGF4	TC1100011451.hg.1
FGF5	TC0400012820.hg.1
FGF6	TC1200009671.hg.1
FGF7	TC1500007185.hg.1
FGF8	TC1000011657.hg.1
FGF9	TC1300006543.hg.1
FGF10	TC0500010651.hg.1
FGF11	TC1700012183.hg.1
FGF12	TC0300013547.hg.1
FGF13	TC0X00010954.hg.1
FGF14	TC1300009650.hg.1
FGFR1	TC0800010163.hg.1
